Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking,Odds,avg_rank_last_x_years
2014,CHA,Charlotte Bobcats,EAST,26.05263157894737,4.157894736842105,223.21052631578948,78.36842105263158,13500000,2850960.0,60819062,2,12,0,0,2,0,7.0,30000,11.428571428571429
2013,CHA,Charlotte Bobcats,EAST,26.166666666666668,4.666666666666667,224.16666666666663,78.72222222222223,12400000,3007920.0,57491899,1,14,0,0,1,0,14.0,50000,11.0
2012,CHA,Charlotte Bobcats,EAST,26.125,4.5,225.8125,78.75,10262069,2750000.0,57902024,0,15,0,0,1,0,15.0,20000,10.2
2011,CHA,Charlotte Bobcats,EAST,26.789473684210527,5.421052631578948,226.94736842105263,79.36842105263158,9000000,2770200.0,66542696,0,18,0,0,1,0,10.0,6600,10.25
2010,CHA,Charlotte Bobcats,EAST,27.105263157894736,6.0,219.4736842105264,79.10526315789474,11850000,5122397.0,68681758,0,14,0,0,1,0,7.0,12500,11.333333333333334
2009,CHA,Charlotte Bobcats,EAST,25.83333333333333,3.9583333333333335,226.25,79.33333333333333,9537500,2661027.0,62866926,0,17,0,0,8,0,10.0,12500,12.0
2008,CHA,Charlotte Bobcats,EAST,27.33333333333333,5.2,217.53333333333333,78.8,11111110,2376000.0,53745468,1,14,0,0,8,0,12.0,12500,12.0
2025,CHO,Charlotte Hornets,EAST,25.5,3.4,210.72222222222223,78.7,35147000,5250000.0,153709214,1,16,0,0,8,0,,100000,10.3
2024,CHO,Charlotte Hornets,EAST,25.07692307692308,3.615384615384616,205.15384615384616,78.57692307692308,29682540,3191400.0,138530978,1,24,0,0,8,0,13.0,50000,10.0
2023,CHO,Charlotte Hornets,EAST,24.473684210526315,3.421052631578948,207.1578947368421,79.0,30075000,2372565.0,124541054,1,21,0,0,8,0,14.0,15000,9.5
2022,CHO,Charlotte Hornets,EAST,24.73684210526316,3.684210526315789,212.21052631578948,78.57894736842105,29925000,4154400.0,120048268,1,18,0,0,8,0,10.0,10000,9.428571428571429
