,Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,Odds,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking
581,2010,OKC,Oklahoma City Thunder,WEST,25.166666666666668,3.2222222222222223,222.22222222222223,79.11111111111111,700,7350000,2759628.0,58438646,0,19,0,0,1,0,7
582,2009,OKC,Oklahoma City Thunder,WEST,25.55,4.1,224.95,80.0,20000,7647500,3493680.0,68341605,0,19,0,0,17,0,13
583,2025,ORL,Orlando Magic,EAST,25.09523809523809,4.0,213.85,78.71428571428571,8000,25000000,9057971.0,150359238,0,15,0,0,17,0,
584,2024,ORL,Orlando Magic,EAST,24.444444444444443,3.333333333333333,221.8333333333333,79.27777777777777,8000,17400000,6392625.5,130964229,0,18,0,0,17,0,5
585,2023,ORL,Orlando Magic,EAST,23.85,3.2,220.6,79.4,8000,17400000,3433320.0,125177282,0,21,0,0,16,0,13
586,2022,ORL,Orlando Magic,EAST,24.454545454545453,2.772727272727273,214.0,78.0,8000,20482143,3277080.0,125358212,0,25,0,0,16,0,15
587,2021,ORL,Orlando Magic,EAST,24.857142857142858,3.4285714285714284,213.67857142857144,77.89285714285714,8000,28489239,2586036.0,114211579,1,22,0,0,16,0,14
588,2020,ORL,Orlando Magic,EAST,26.0,3.789473684210526,212.31578947368425,78.52631578947368,8000,28000000,3000000.0,133294669,1,20,0,0,16,0,8
589,2019,ORL,Orlando Magic,EAST,24.94117647058824,2.9411764705882355,215.8235294117647,78.58823529411765,8000,21590909,2527768.0,114566809,0,20,0,0,15,0,6
590,2018,ORL,Orlando Magic,EAST,25.21052631578948,3.736842105263158,217.73684210526315,78.52631578947368,8000,17000000,4078320.0,95538311,0,19,0,0,14,0,14
591,2017,ORL,Orlando Magic,EAST,25.473684210526315,3.631578947368421,219.3684210526316,78.6842105263158,8000,17000000,4130580.0,104110336,0,18,0,0,14,0,13
592,2016,ORL,Orlando Magic,EAST,24.88235294117647,3.4705882352941178,216.7058823529412,78.47058823529412,8000,11250000,2380594.0,63349656,0,19,0,0,14,0,11
593,2015,ORL,Orlando Magic,EAST,24.933333333333334,3.733333333333333,221.9333333333333,78.8,8000,8175476,2134217.0,53338463,0,20,0,0,14,0,13
594,2014,ORL,Orlando Magic,EAST,24.8125,3.375,227.125,78.5625,15000,22346536,2500000.0,80664910,1,16,0,0,14,0,13
595,2014,ORL,Orlando Magic,EAST,24.8125,3.375,227.125,78.5625,30000,22346536,2500000.0,80664910,1,16,0,0,14,0,13
596,2013,ORL,Orlando Magic,EAST,25.22222222222222,3.8333333333333335,224.27777777777777,78.5,15000,20807922,1768800.0,87114818,1,18,0,0,14,0,15
597,2013,ORL,Orlando Magic,EAST,25.22222222222222,3.8333333333333335,224.27777777777777,78.5,30000,20807922,1768800.0,87114818,1,18,0,0,14,0,15
598,2012,ORL,Orlando Magic,EAST,26.375,5.3125,219.6875,78.25,1000,19269307,2973300.0,86962825,2,14,0,0,14,0,6
599,2012,ORL,Orlando Magic,EAST,26.375,5.3125,219.6875,78.25,1000,19269307,2973300.0,86962825,2,14,0,0,14,0,6
600,2012,ORL,Orlando Magic,EAST,26.375,5.3125,219.6875,78.25,2500,19269307,2973300.0,86962825,2,14,0,0,14,0,6
601,2011,ORL,Orlando Magic,EAST,28.176470588235293,7.176470588235294,220.23529411764707,78.52941176470588,1000,17730694,3750000.0,90770804,0,14,0,0,13,0,4
