,totals_rank,totals_team,totals_games,totals_minutes_played,totals_field_goals,totals_field_goals_attempted,totals_field_goal_pct,totals_three_point_field_goals,totals_three_point_attempts,totals_three_point_pct,totals_two_point_field_goals,totals_two_point_attempts,totals_two_point_pct,totals_free_throws,totals_free_throw_attempts,totals_free_throw_pct,totals_offensive_rebounds,totals_defensive_rebounds,totals_total_rebounds,totals_assists,totals_steals,totals_blocks,totals_turnovers,totals_personal_fouls,totals_points
302,24,Dallas Mavericks*,82,19755,3222,6982,.461,1073,3063,.350,2149,3919,.548,1341,1739,.771,759,2769,3528,1918,552,325,1025,1612,8858
303,25,Cleveland Cavaliers,82,19730,3255,6940,.469,953,2686,.355,2302,4254,.541,1376,1810,.760,837,2786,3623,2064,580,343,1181,1433,8839
304,26,New York Knicks,82,19780,3088,7069,.437,1082,3029,.357,2006,4040,.497,1473,1980,.744,941,2841,3782,1793,570,399,1087,1672,8731
305,27,Portland Trail Blazers,82,19730,3161,7144,.442,1043,3017,.346,2118,4127,.513,1346,1771,.760,854,2661,3515,1880,657,366,1187,1728,8711
306,28,Detroit Pistons,82,19780,3129,7267,.431,925,2838,.326,2204,4429,.498,1413,1806,.782,900,2625,3525,1924,630,393,1163,1799,8596
307,29,Orlando Magic,82,19780,3139,7240,.434,999,3022,.331,2140,4218,.507,1270,1614,.787,746,2885,3631,1947,555,367,1188,1612,8547
308,30,Oklahoma City Thunder,82,19805,3141,7310,.430,991,3066,.323,2150,4244,.507,1233,1632,.756,854,2887,3741,1822,622,380,1145,1497,8506
309,,League Average,82,19792,3331,7224,.461,1020,2885,.354,2311,4340,.533,1389,1793,.775,847,2798,3645,2021,626,386,1129,1610,9071
310,1,Sacramento Kings*,82,19830,3573,7232,.494,1128,3060,.369,2445,4172,.586,1624,2055,.790,782,2699,3481,2237,574,275,1106,1616,9898
311,2,Golden State Warriors*,82,19830,3538,7393,.479,1363,3540,.385,2175,3853,.564,1314,1655,.794,864,2793,3657,2446,588,323,1336,1757,9753
312,3,Atlanta Hawks*,82,19855,3658,7574,.483,882,2505,.352,2776,5069,.548,1513,1850,.818,920,2719,3639,2049,580,401,1060,1541,9711
313,4,Boston Celtics*,82,19980,3460,7278,.475,1315,3492,.377,2145,3786,.567,1436,1769,.812,796,2921,3717,2186,521,430,1095,1542,9671
314,5,Oklahoma City Thunder,82,19855,3533,7590,.465,995,2797,.356,2538,4793,.530,1572,1944,.809,934,2645,3579,2002,676,341,1069,1722,9633
315,6,Los Angeles Lakers*,82,19880,3516,7298,.482,885,2558,.346,2631,4740,.555,1691,2182,.775,818,2930,3748,2072,526,378,1154,1466,9608
316,7,Utah Jazz,82,19805,3485,7365,.473,1094,3099,.353,2391,4266,.560,1536,1955,.786,968,2794,3762,2129,500,429,1259,1679,9600
317,8,Milwaukee Bucks*,82,19830,3504,7411,.473,1217,3306,.368,2287,4105,.557,1364,1837,.743,914,3074,3988,2115,521,403,1199,1481,9589
318,9,Memphis Grizzlies*,82,19780,3585,7551,.475,985,2807,.351,2600,4744,.548,1432,1954,.733,988,2835,3823,2135,680,473,1116,1643,9587
319,10,Indiana Pacers,82,19755,3444,7345,.469,1112,3030,.367,2332,4315,.540,1535,1944,.790,832,2575,3407,2213,631,478,1225,1741,9535
