,advanced_rank,advanced_team,advanced_age,advanced_wins,advanced_losses,advanced_pythagorean_wins,advanced_pythagorean_losses,advanced_margin_of_victory,advanced_strength_of_schedule,advanced_simple_rating_system,advanced_offensive_rating,advanced_defensive_rating,advanced_net_rating,advanced_pace,advanced_free_throw_rate,advanced_three_point_attempt_rate,advanced_true_shooting_pct,advanced_,advanced_offensive_effective_fg_pct,advanced_offensive_turnover_pct,advanced_offensive_offensive_rebound_pct,advanced_offensive_ft_per_fga,advanced_,advanced_defensive_effective_fg_pct,advanced_defensive_turnover_pct,advanced_defensive_defensive_rebound_pct,advanced_defensive_ft_per_fga,advanced_,advanced_arena,advanced_attendance,advanced_attendance_per_game
72,9,Toronto Raptors*,26.1,49,33,49,33,3.07,-0.62,2.45,111.0,107.7,+3.3,92.8,.295,.302,.553,,.508,12.0,25.6,.232,,.506,13.4,73.3,.208,,Air Canada Centre,"809,824","19,752"
73,10,Chicago Bulls*,28.8,50,32,50,32,3.00,-0.46,2.54,107.5,104.3,+3.2,92.8,.304,.269,.536,,.489,12.9,27.0,.238,,.473,11.3,74.4,.182,,United Center,"886,612","21,625"
74,11,Dallas Mavericks*,29.9,50,32,49,33,2.90,0.46,3.36,109.5,106.4,+3.1,95.2,.262,.296,.550,,.515,11.9,23.6,.197,,.503,14.7,72.2,.204,,American Airlines Center,"827,702","20,188"
75,12,Oklahoma City Thunder,25.4,45,37,47,35,2.18,0.28,2.47,107.8,105.5,+2.3,95.7,.284,.262,.532,,.492,13.1,28.9,.214,,.489,12.4,75.6,.213,,Chesapeake Energy Arena,"746,323","18,203"
76,13,New Orleans Pelicans*,25.3,45,37,43,39,0.79,0.34,1.13,108.2,107.3,+0.9,91.4,.263,.233,.537,,.501,12.5,27.1,.198,,.496,11.7,75.1,.195,,Smoothie King Center,"683,757","16,677"
77,14,Washington Wizards*,28.6,46,36,43,39,0.72,-0.55,0.17,103.7,103.0,+0.7,93.7,.259,.203,.534,,.499,14.0,24.9,.192,,.481,12.9,77.3,.210,,Verizon Center,"747,796","18,239"
78,15,Milwaukee Bucks*,24.6,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,+0.5,94.1,.258,.223,.536,,.499,15.5,25.4,.195,,.487,15.9,73.3,.221,,BMO Harris Bradley Center,"593,910","14,813"
79,16,Indiana Pacers,28.3,38,44,42,40,0.28,-0.51,-0.23,103.5,103.2,+0.3,93.2,.266,.255,.523,,.484,13.1,24.0,.201,,.478,12.0,77.9,.217,,Bankers Life Fieldhouse,"691,434","16,864"
80,17,Utah Jazz,23.4,38,44,42,40,0.22,0.49,0.71,105.1,104.9,+0.2,90.4,.297,.274,.531,,.494,14.6,29.1,.214,,.491,12.8,76.3,.199,,EnergySolutions Arena,"772,059","18,831"
81,18,Boston Celtics*,25.0,40,42,41,41,0.16,-0.56,-0.40,104.7,104.5,+0.2,95.8,.233,.280,.523,,.489,12.5,24.7,.176,,.494,13.7,75.0,.208,,TD Garden,"721,350","17,594"
82,19,Phoenix Suns,25.7,39,43,38,44,-0.90,0.52,-0.38,105.3,106.2,-0.9,96.3,.251,.291,.537,,.501,13.7,24.5,.191,,.497,14.0,73.5,.221,,US Airways Center,"693,862","16,923"
83,20,Detroit Pistons,25.9,32,50,38,44,-1.00,-0.39,-1.39,105.3,106.4,-1.1,92.8,.261,.290,.515,,.482,12.3,27.7,.184,,.502,13.2,75.0,.192,,The Palace of Auburn Hills,"625,917","15,266"
84,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
85,21,Miami Heat,28.5,37,45,33,49,-2.60,-0.32,-2.92,103.9,106.7,-2.8,90.9,.306,.262,.540,,.500,14.5,23.2,.227,,.505,14.2,73.4,.213,,AmericanAirlines Arena,"808,223","19,713"
86,22,Brooklyn Nets*,28.6,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,.267,.240,.529,,.491,13.0,23.9,.200,,.506,12.9,73.7,.185,,Barclays Center,"698,529","17,037"
87,23,Charlotte Hornets,26.0,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,.269,.226,.498,,.456,11.2,22.1,.202,,.487,12.0,79.3,.188,,Time Warner Cable Arena,"704,886","17,192"
88,24,Denver Nuggets,26.4,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,.278,.284,.518,,.479,12.7,26.6,.204,,.504,13.0,74.7,.239,,Pepsi Center,"602,707","14,700"
89,25,Sacramento Kings,26.0,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,.363,.204,.542,,.490,14.8,26.5,.276,,.507,11.8,75.2,.200,,Sleep Train Arena,"680,049","16,587"
90,26,Orlando Magic,24.3,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,.230,.235,.524,,.494,14.0,23.1,.168,,.514,13.6,76.0,.210,,Amway Center,"688,194","16,785"
91,27,Los Angeles Lakers,27.0,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,.276,.220,.513,,.473,12.1,25.4,.204,,.518,12.1,76.3,.231,,STAPLES Center,"768,244","18,738"
92,28,Minnesota Timberwolves,24.4,16,66,19,63,-8.79,0.79,-8.00,102.9,112.2,-9.3,94.4,.309,.179,.517,,.468,13.7,26.6,.240,,.537,13.9,71.6,.187,,Target Center,"595,652","14,416"
93,29,Philadelphia 76ers,23.2,18,64,18,64,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,.288,.319,.494,,.459,16.0,25.5,.195,,.497,15.2,73.0,.225,,Wells Fargo Center,"571,572","13,941"
94,30,New York Knicks,26.9,17,65,17,65,-9.32,-0.18,-9.50,99.9,110.0,-10.1,91.2,.234,.240,.508,,.470,14.0,24.5,.180,,.512,13.3,73.1,.234,,Madison Square Garden (IV),"812,292","19,812"
95,,League Average,26.8,,,41,41,0.00,0.00,0.00,105.6,105.6,,93.9,.273,.268,.534,,.496,13.3,25.1,.205,,.496,13.3,74.9,.205,,,"729,877","17,814"
96,1,San Antonio Spurs*,30.3,67,15,67,15,10.63,-0.36,10.28,110.3,99.0,+11.3,93.8,.246,.223,.564,,.526,12.4,23.0,.197,,.477,14.1,79.1,.182,,AT&T Center,"756,445","18,450"
97,2,Golden State Warriors*,27.4,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,+10.7,99.3,.250,.362,.593,,.563,13.5,23.5,.191,,.479,12.6,76.0,.208,,Oracle Arena,"803,436","19,596"
98,3,Oklahoma City Thunder*,25.8,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,+7.5,96.7,.292,.275,.565,,.524,14.0,31.1,.228,,.484,11.7,76.0,.205,,Chesapeake Energy Arena,"746,323","18,203"
99,4,Cleveland Cavaliers*,28.1,57,25,57,25,6.00,-0.55,5.45,110.9,104.5,+6.4,93.3,.259,.352,.558,,.524,12.7,25.1,.194,,.496,12.6,78.5,.205,,Quicken Loans Arena,"843,042","20,562"
100,5,Toronto Raptors*,26.3,56,26,53,29,4.50,-0.42,4.08,110.0,105.2,+4.8,92.9,.328,.287,.552,,.504,12.3,24.6,.255,,.498,12.7,77.7,.201,,Air Canada Centre,"812,863","19,826"
101,6,Los Angeles Clippers*,29.7,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,+4.5,95.8,.318,.324,.556,,.524,12.1,20.1,.220,,.480,13.8,73.8,.222,,STAPLES Center,"786,910","19,193"
102,7,Atlanta Hawks*,28.2,48,34,51,31,3.61,-0.12,3.49,105.1,101.4,+3.7,97.1,.237,.336,.552,,.516,13.8,19.1,.185,,.480,14.4,74.6,.194,,Philips Arena,"690,150","16,833"
103,8,Boston Celtics*,25.2,48,34,50,32,3.21,-0.37,2.84,106.8,103.6,+3.2,98.5,.264,.293,.531,,.488,12.1,25.1,.208,,.487,14.6,74.6,.231,,TD Garden,"749,076","18,270"
104,9,Charlotte Hornets*,26.0,48,34,49,33,2.72,-0.36,2.36,107.2,104.3,+2.9,95.6,.280,.348,.545,,.502,11.7,20.0,.222,,.496,12.5,79.8,.191,,Time Warner Cable Arena,"716,894","17,485"
105,10,Utah Jazz,24.2,40,42,46,36,1.79,0.05,1.84,105.9,103.9,+2.0,91.0,.286,.297,.540,,.501,14.2,25.9,.213,,.495,13.5,77.7,.210,,Vivint Smart Home Arena,"791,489","19,305"
106,11,Miami Heat*,28.4,48,34,46,36,1.65,-0.14,1.50,106.1,104.4,+1.7,93.6,.282,.221,.545,,.508,13.3,23.8,.210,,.485,12.1,77.8,.196,,AmericanAirlines Arena,"809,350","19,740"
107,12,Indiana Pacers*,26.9,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,+1.7,96.6,.268,.270,.536,,.497,13.5,23.4,.205,,.489,14.3,76.0,.205,,Bankers Life Fieldhouse,"690,733","16,847"
